QUESTION,BT LEVEL
Independent Non-Executive Directors (INEDs) play crucial roles in the  assurance of effective corporate governance of public listed companies. Provide an assessment on the contributions of INEDs in promoting effective corporate governance. ,Comprehension
Briefly discuss the advantage of C3 and C4 pathways for weeds. ,Comprehension
"In a table form, differentiate between RefSeq and GenBank DNA sequences. ",Analysis
The structural view of language has several components. List FIVE (5) components. ,Knowledge
"Audio plays an important role in the development of multimedia. Illustrate the relations that exist between Wavelength, Frequency and Pitch of a digital audio.",Comprehension
Determine the intrinsic value of KMK Corporation's common stock. ,Application
What would you do if a heavy growth of bacteria had occurred ,Application
Use Lagrange multiplier to solve the following nonlinear programming problem.,Application
Prove that the wave function of a free electron is a plane wave by using Schrodinger's equation. ,Evaluation
Outline how class ArrayList could be implemented using an array,Evaluation
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,Evaluation
How many loop statement available in c++?,Knowledge
"As a spokesperson that is handling the crisis, identify TWO (2) potential trick questions that might be asked by the reporters during the press conference. Provide your answer with explanation and an example for each trick question identified. ",Comprehension
Provide a real life example on conflict of interest situation.,Comprehension
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,Evaluation
Determine the next number in a sequence,Comprehension
Determine the gate oxide capacitance.,Application
Explain any FOUR (4) product design strategies that could help company to reduce cost. ,Comprehension
State the rule for balls and strikes in baseball.,Knowledge
Describe the factors affecting premature building decay. ,Comprehension
State the advantages of no tillage. ,Knowledge
Analyze the movements and sounds of a frog.,Analysis
Assess the importance of understanding seasonal patters.,Evaluation
Briefly explain the mechanism of RNA interference. ,Comprehension
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,Synthesis
Relate the principle of reinforcement to classroom interactions.,Application
"The substrates of allosteric enzymes exhibit positive cooperativity. Explain positive cooperativity in terms of subunits, conformation, and activity of the active site. ",Comprehension
List and explain the FIVE (5) institutional structures that can promote and sustained economic growth. ,Comprehension
Explain the main disadvantage of Lineweaver-Burk plot. Suggest an alternative method to Lineweaver-Burk plot. ,Synthesis
Discuss the importance of knowing herbicide families and mode of action. ,Comprehension
"As a project manager, you are evaluating the building design for its compliance to intended function as a private college accommodating over 2000 students. Analyze the problems and propose the building performance to meet these functions. ",Synthesis
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",Evaluation
Suppose that Japan and South Korea are trading partners. The exchange rate of Yen for South Korean Won (KRW) is floating freely. Japanese had reduced their imports from South Korea due to lack of demand for Korean products. Explain what will happen to Yen by using an appropriate diagram. Give five reasons why demand for a foreign currency may increase. ,Analysis
How does autonomy differ with age,Analysis
 Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analysis
Why not compose a song about . . .?,Synthesis
Draw TWO (2) point perspectives with TWO (2) geometrical forms.,Comprehension
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,Evaluation
List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,Knowledge
"""Instead of focusing only on investing in local market, some investors also invest in foreign market"". Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluation
Provide FOUR (4) reasons of using aggregate in concrete production. ,Comprehension
Explain how Porter's concept can be used in education domain.,Application
Support your answers with ONE (1) example from everyday life for each type of personality. ,Evaluation
Recite a policy of immigration in Europe .,Knowledge
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Synthesis
What might happen if you combined...?,Synthesis
Justify why Benny used MP3 instead of other audio format.,Evaluation
Sketch a diagram which indicates the Damp Proof Membrane (DPM) in the non reinforced concrete ground floor. ,Application
Rewrite the principles of test writing.,Comprehension
"Using the multiplier approach, suppose government increases spending to 2200 and decreases tax by 500, calculate the new equilibrium output level and the new balance of trade.",Application
"Response and Task-Based Learning are methods often used in an  classroom. Differentiate the two methods by describing THREE (3) characteristics for each method, and give examples of ONE (1) material and ONE (1) activity using that material. ",Analysis
Describe the components in the Mechanical and electrical System used in buildings.,Comprehension
